make,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
vauxhall, Corsa,2019,10990,Manual,100,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10490,Manual,1375,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10490,Manual,1452,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8391,Manual,10376,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,10498,Manual,4514,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,10998,Manual,8309,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,10698,Automatic,5400,Petrol,150,39.8,1.4
vauxhall, Corsa,2018,9320,Manual,7825,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,6790,Manual,27849,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,7895,Manual,14917,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8898,Manual,12238,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,10498,Automatic,17365,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,11298,Automatic,3326,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,7995,Manual,13149,Petrol,150,54.3,1.4
vauxhall, Corsa,2017,7998,Manual,12649,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9995,Manual,16937,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,7990,Manual,5000,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9995,Manual,10,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9450,Manual,17017,Petrol,150,54.3,1.4
vauxhall, Corsa,2017,9845,Automatic,7420,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,15660,Manual,7564,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8495,Manual,5400,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,15225,Manual,12670,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9495,Manual,4500,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,10,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,7795,Manual,16302,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9495,Manual,14712,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,6985,Manual,13306,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7295,Manual,6462,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,9495,Manual,6000,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9989,Manual,10,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9250,Manual,2500,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9995,Manual,14524,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9295,Manual,12,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,9495,Manual,9455,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,7930,Manual,13051,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10498,Manual,8208,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10498,Manual,10880,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9995,Manual,9840,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7500,Manual,20389,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,6999,Manual,12701,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7995,Manual,29000,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7999,Manual,19654,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8499,Manual,9978,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,9999,Manual,8633,Petrol,145,49.6,1.4
vauxhall, Corsa,2018,7999,Manual,14948,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8495,Manual,16000,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10990,Manual,1152,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9950,Manual,25,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,8995,Manual,10,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7795,Manual,30000,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7350,Manual,34044,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10990,Manual,1254,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7095,Manual,14580,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7950,Manual,14295,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10490,Manual,1512,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10990,Manual,1210,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,100,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,8200,Manual,14128,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7490,Manual,7184,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,10498,Automatic,11486,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,8498,Manual,14038,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,6490,Manual,29066,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,6195,Manual,59030,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,7640,Manual,22208,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7971,Manual,10519,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7971,Manual,22088,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7690,Manual,26033,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9471,Manual,7736,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8650,Manual,3521,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8810,Manual,7822,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,11157,Manual,100,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7525,Manual,21115,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9471,Manual,9260,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9471,Manual,9765,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9471,Manual,9944,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9471,Manual,7567,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7771,Manual,14516,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,10471,Manual,16397,Petrol,150,49.6,1.4
vauxhall, Corsa,2019,11102,Manual,2462,Petrol,150,43.5,1.4
vauxhall, Corsa,2017,9091,Manual,12288,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,10490,Manual,100,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,10498,Automatic,4753,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,8500,Manual,5803,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8460,Manual,7007,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8510,Manual,5426,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,8200,Manual,13045,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7230,Manual,28075,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7590,Manual,16002,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8160,Manual,17202,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9990,Manual,1998,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,1860,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9490,Manual,2378,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8471,Manual,5438,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,7998,Manual,9109,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8471,Manual,6690,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7999,Manual,14502,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,6790,Manual,21845,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,8250,Manual,18610,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,8495,Manual,13290,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,10500,Automatic,13000,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,7990,Manual,11367,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8499,Manual,9621,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10998,Manual,5594,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,9890,Manual,4792,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,7999,Manual,4170,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,8799,Manual,9436,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8299,Manual,12341,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,12499,Manual,2941,Petrol,145,44.8,1.4
vauxhall, Corsa,2017,7290,Manual,23900,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,10699,Manual,2938,Petrol,145,44.8,1.4
vauxhall, Corsa,2017,7999,Manual,12213,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10699,Manual,3478,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,9699,Manual,4656,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10699,Manual,3772,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,9999,Manual,12233,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,6999,Manual,12716,Petrol,150,55.4,1.4
vauxhall, Corsa,2019,9999,Manual,9649,Petrol,145,43.5,1.4
vauxhall, Corsa,2016,10499,Automatic,13637,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,7999,Manual,5303,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,7890,Manual,14000,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,8295,Manual,5551,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8295,Manual,9789,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8295,Manual,6369,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8295,Manual,7396,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8295,Manual,11180,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8499,Manual,18259,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10490,Manual,214,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10990,Manual,865,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10990,Manual,318,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7850,Manual,32898,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,10657,Manual,974,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10998,Manual,11555,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,10998,Manual,6519,Petrol,145,44.8,1.4
vauxhall, Corsa,2017,6995,Manual,15000,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8999,Manual,12272,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7291,Manual,37772,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,9999,Automatic,13000,Petrol,145,39.8,1.4
vauxhall, Corsa,2018,9999,Automatic,10734,Petrol,145,39.8,1.4
vauxhall, Corsa,2019,10990,Manual,435,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8046,Manual,6089,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8991,Manual,13939,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,10990,Manual,579,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7741,Manual,30272,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,10295,Automatic,10965,Petrol,145,39.8,1.4
vauxhall, Corsa,2018,10499,Automatic,7765,Petrol,145,39.8,1.4
vauxhall, Corsa,2019,9995,Manual,4655,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8999,Manual,3273,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7999,Manual,38700,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7500,Manual,9832,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,9888,Automatic,5189,Petrol,150,39.8,1.4
vauxhall, Corsa,2018,9690,Manual,8300,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9499,Automatic,16350,Petrol,145,39.8,1.4
vauxhall, Corsa,2018,9457,Automatic,2598,Petrol,145,39.8,1.4
vauxhall, Corsa,2017,7999,Manual,19149,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8136,Manual,12547,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10300,Manual,9902,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,10371,Manual,7092,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,9199,Manual,9926,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8600,Manual,15894,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,10800,Automatic,5297,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,8900,Manual,22831,Petrol,150,43.5,1.4
vauxhall, Corsa,2017,8750,Manual,6250,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,8282,Manual,28989,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9900,Manual,3363,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,9900,Manual,1970,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,9900,Manual,2217,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,9499,Automatic,17647,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,10495,Automatic,8125,Petrol,150,39.8,1.4
vauxhall, Corsa,2016,9090,Automatic,22581,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,10998,Manual,6736,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,10698,Manual,9754,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,10998,Manual,9401,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,12991,Manual,3755,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10998,Manual,8913,Petrol,150,44.8,1.4
vauxhall, Corsa,2017,6890,Manual,24238,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8500,Manual,27944,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8695,Manual,18872,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10698,Manual,9118,Petrol,150,44.8,1.4
vauxhall, Corsa,2017,8495,Manual,19843,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,8500,Manual,27578,Petrol,150,55.4,1.4
vauxhall, Corsa,2019,9998,Manual,15294,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,8995,Manual,4508,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,10495,Automatic,8496,Petrol,145,39.8,1.4
vauxhall, Corsa,2017,7899,Manual,11309,Petrol,150,55.4,1.4
vauxhall, Corsa,2016,10898,Automatic,1423,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,10590,Manual,662,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10590,Manual,2007,Petrol,145,44.8,1.4
vauxhall, Corsa,2018,9481,Manual,15278,Petrol,150,49.6,1.4
vauxhall, Corsa,2019,10790,Manual,388,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,10298,Manual,719,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,8514,Manual,14470,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,7798,Manual,10254,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10500,Manual,5683,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8300,Manual,11242,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,7500,Manual,20640,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7000,Manual,12545,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10500,Manual,5,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,1141,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8600,Manual,9882,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,7400,Manual,8000,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,8500,Manual,12485,Petrol,150,55.4,1.4
vauxhall, Corsa,2019,9990,Manual,1025,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,1270,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9990,Manual,1425,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8730,Manual,9009,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9491,Manual,8587,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,7291,Manual,17921,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,6965,Manual,33125,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,10950,Automatic,3400,Petrol,150,39.8,1.4
vauxhall, Corsa,2018,7750,Manual,11981,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10498,Manual,4209,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,8999,Manual,22061,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7500,Manual,13370,Petrol,150,55.4,1.4
